PLOT,TRANSECT,DISTANCE,N,C
A10,A,10,0.118145674,1.310282469
A15,A,15,0.173656747,1.779265523
A5,A,5,0.202183828,2.186722994
A0,A,0,0.248226061,2.883476019
A30,A,30,0.134824201,1.50638485
A20,A,20,0.15767476,1.660387754
A25,A,25,0.150414154,1.599615693
B5,B,5,0.138829231,1.551608801
B20,B,20,0.151196957,1.812857747
B30,B,30,0.125863776,1.509268165
B25,B,25,0.153865248,1.78631711
B10,B,10,0.140870973,1.733493447
B15,B,15,0.14681381,2.035414934
C10,C,10,0.150367498,1.75670588
C15,C,15,0.134989128,1.632781506
C25,C,25,0.200552478,2.235597849
C30,C,30,0.111195669,1.303938031
D30,D,30,0.137266412,1.537073612
D20,D,20,0.17891714,2.023102522
D15,D,15,0.141563371,1.669111133
D25,D,25,0.112217449,1.253241777
