volume,date,transect,distance,minute,time,area,note
1,7/17/2014,andy,10,10,10.2,10149,
1,7/17/2014,andy,10,15,10.833,31010,
1,7/17/2014,andy,20,5,10.148,7890,
1,7/17/2014,andy,20,10,10.129,17782,
1,7/17/2014,andy,20,15,10.2,918689,
1,7/17/2014,andy,25,0,10.112,36608,
1,7/17/2014,andy,25,24,10.132,185963,
1,7/17/2014,bob,0,0,10.158,5604,
1,7/17/2014,bob,10,5,10.133,16147,
1,7/25/2014,andy,0,0,9.8,8221,
1,7/25/2014,andy,0,5,10.37,41000,
1,7/25/2014,andy,0,10,10.1,106396,
,7/25/2014,andy,20,0,10.1,1674,
1,7/25/2014,andy,20,5,10.33,186588,
1,7/28/2014,bob,0,10,10.1,7023,
1,7/28/2014,bob,0,15,10.09,10302,
0.25,8/4/2014,andy,10,5,11.008,2000,
0.25,8/4/2014,andy,10,10,9.983,7535,
0.25,8/4/2014,andy,20,0,10.033,2657,
0.25,8/4/2014,andy,20,5,10.033,4886,
0.25,8/14/2014,andy,0,10,9.525,125475,
0.25,8/14/2014,andy,0,15,10.157,209956,
0.25,8/14/2014,andy,10,0,10.708,53212,
0.25,8/14/2014,andy,10,5,9.279,172614,
0.25,8/14/2014,andy,10,15,10.038,555385,
0.25,8/14/2014,andy,20,5,10.367,2277,860 mv low
0.25,8/14/2014,andy,20,10,12.049,429087,psig low
0.25,8/14/2014,bob,0,0,10.215,123261,
0.25,8/14/2014,bob,0,5,11.906,814012,
0.25,8/14/2014,bob,10,0,10.23,180337,
0.25,8/14/2014,bob,10,5,9.263,185985,
0.25,8/14/2014,bob,10,15,10.058,562675,
0.25,8/14/2014,bob,20,10,10.18,289875,
0.25,8/14/2014,bob,20,15,8.839,472124,
0.25,8/24/2014,andy,0,0,10.194,218844,
0.25,8/24/2014,andy,0,3,10.047,207289,
0.25,8/24/2014,andy,0,5,10.021,226783,
0.25,8/24/2014,andy,10,0,10.234,146391,
0.25,8/24/2014,andy,10,3,10.035,172783,
0.25,8/24/2014,andy,10,5,10.165,251187,
0.25,8/24/2014,andy,10,10,10.331,210300,
0.25,8/24/2014,andy,20,0,10.181,120394,
0.25,8/24/2014,andy,20,3,9.967,124669,
0.25,8/24/2014,andy,20,5,10.02,134247,
0.25,8/24/2014,andy,20,10,10.036,205518,
0.25,8/24/2014,bob,0,0,10.262,246334,
0.25,8/24/2014,bob,0,3,11.729,199137,
0.25,8/24/2014,bob,0,5,9.783,119641,
0.25,8/24/2014,bob,0,10,11.016,229803,
0.25,8/24/2014,bob,10,3,9.298,113023,
0.25,8/24/2014,bob,10,5,9.749,172976,
0.25,8/24/2014,bob,20,0,9.866,163243,
0.25,8/24/2014,bob,20,3,9.735,174528,
0.25,8/24/2014,bob,20,5,9.747,108447,
0.25,8/24/2014,bob,20,10,9.762,165101,
0.25,9/7/2014,carl,20,3,9.739,3759,
0.25,9/7/2014,carl,20,5,9.667,6529,
0.25,9/7/2014,andy,10,0,9.737,5360,
0.25,9/7/2014,andy,10,5,9.7,7556,
0.25,9/7/2014,andy,20,0,10.237,41834,
0.25,9/7/2014,andy,20,5,10.002,111155,
0.25,9/7/2014,bob,0,3,10.55,7108,
0.25,9/7/2014,bob,0,5,10.007,51499,
0.25,9/7/2014,bob,10,0,10.62,21486,
0.25,9/7/2014,bob,10,3,10.334,54463,
0.25,9/7/2014,bob,20,3,9.893,4089,
0.25,9/7/2014,bob,20,5,9.66,5019,
0.25,9/7/2014,carl,0,3,9.721,2891,
0.25,9/7/2014,carl,0,5,9.692,45567,
0.25,9/7/2014,carl,10,3,9.704,3790,
0.25,9/7/2014,carl,10,5,9.699,4119,
0.25,9/7/2014,carl,10,10,9.672,55657,
